what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286146999281
opened,editor,com.google.gwt.eclipse.core,1.3.3.v201006111302,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1286147002666
activated,editor,com.google.gwt.eclipse.core,1.3.3.v201006111302,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1286147002698
activated,editor,com.instantiations.designer.core,8.0.0.r35x201009160631,"com.instantiations.designer.core.guiEditor",1286147004226
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286147005786
started,bundle,com.instantiations.designer.runtime.lib,8.0.0.r35x201009160631,"com.instantiations.designer.runtime.lib",1286147005880
started,bundle,com.instantiations.designer.gwt.GWTExt,8.0.0.r35x201009160831,"com.instantiations.designer.gwt.GWTExt",1286147006020
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1286147006192
started,bundle,org.eclipse.pde,3.4.100.v201002111343,"org.eclipse.pde",1286147006192
started,bundle,com.instantiations.designer.gwt.hosted,8.0.0.r35x201009140724,"com.instantiations.designer.gwt.hosted",1286147007112
started,bundle,com.google.gdt.eclipse.platform.e35,1.3.3.v201006111302,"com.google.gdt.eclipse.platform.e35",1286147007175
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1286147007222
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1286147007253
started,bundle,com.instantiations.designer.gwt.hosted.1_4,8.0.0.r35x201009140724,"com.instantiations.designer.gwt.hosted.1_4",1286147007768
started,bundle,com.instantiations.designer.gwt.hosted.1_5,8.0.0.r35x201009140724,"com.instantiations.designer.gwt.hosted.1_5",1286147007783
started,bundle,com.instantiations.designer.gwt.hosted.1_6,8.0.0.r35x201009140724,"com.instantiations.designer.gwt.hosted.1_6",1286147007814
started,bundle,com.instantiations.designer.gwt.hosted.2_0,8.0.0.r35x201009140724,"com.instantiations.designer.gwt.hosted.2_0",1286147007814
started,bundle,com.instantiations.designer.gwt.hosted.2_0.webkit,8.0.0.r35x201009140724,"com.instantiations.designer.gwt.hosted.2_0.webkit",1286147007908
started,bundle,com.instantiations.designer.gwt.hosted.2_0.ie,8.0.0.r35x201009140724,"com.instantiations.designer.gwt.hosted.2_0.ie",1286147007924
started,bundle,com.instantiations.designer.gwt.hosted.2_0.super,8.0.0.r35x201009140724,"com.instantiations.designer.gwt.hosted.2_0.super",1286147008048
started,bundle,com.instantiations.designer.gwt.hosted.lib,8.0.0.r35x201009140724,"com.instantiations.designer.gwt.hosted.lib",1286147014413
started,bundle,com.instantiations.designer.core.apiImpl,8.0.0.r35x201009160631,"com.instantiations.designer.core.apiImpl",1286147014772
started,bundle,com.instantiations.designer.core.databinding,8.0.0.r35x201009160631,"com.instantiations.designer.core.databinding",1286147015692
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286147016543
activated,view,com.google.gwt.eclipse.oophm,1.3.3.v201006111302,"com.google.gwt.eclipse.DevModeView",1286147019148
activated,editor,com.instantiations.designer.core,8.0.0.r35x201009160631,"com.instantiations.designer.core.guiEditor",1286147019195
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286147028665
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286147032606
activated,editor,com.google.gwt.eclipse.core,1.3.3.v201006111302,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1286147034509
activated,editor,com.instantiations.designer.core,8.0.0.r35x201009160631,"com.instantiations.designer.core.guiEditor",1286147040125
started,bundle,com.instantiations.designer.os,8.0.0.r35x201009160631,"com.instantiations.designer.os",1286147060779
started,bundle,com.instantiations.designer.os.win32,8.0.0.r35x201009160631,"com.instantiations.designer.os.win32",1286147060795
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286147376579
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286147376595
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286147678887
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286147750121
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286147752500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286147769087
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286147774975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286147844290
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286147867893
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286147875937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286147930256
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286147991800
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148006574
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148153933
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286148155867
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148182317
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148191732
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148200083
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148289813
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1286148298538
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148299864
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148302590
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148330892
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148353789
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1286148360482
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1286148360513
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1286148360575
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1286148360575
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1286148360887
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148368968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148376939
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148402710
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148409317
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1286148410255
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1286148410770
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286148411066
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286148411378
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286148412096
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1286148412829
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148415232
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148417436
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286148427118
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148432269
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148486016
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1286148486484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286148486515
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286148500056
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286148500695
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286148500882
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286148509041
